| end of split  71 /100 | epoch   2 | time: 1011.16s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  72 /100 | epoch   2 | time: 1006.04s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  73 /100 | epoch   2 | time: 1000.84s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  74 /100 | epoch   2 | time: 990.91s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  75 /100 | epoch   2 | time: 1005.63s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  76 /100 | epoch   2 | time: 985.26s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  77 /100 | epoch   2 | time: 992.05s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  78 /100 | epoch   2 | time: 991.85s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  79 /100 | epoch   2 | time: 995.44s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  80 /100 | epoch   2 | time: 993.47s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  81 /100 | epoch   2 | time: 988.73s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  82 /100 | epoch   2 | time: 989.19s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  83 /100 | epoch   2 | time: 987.49s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  84 /100 | epoch   2 | time: 990.44s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  85 /100 | epoch   2 | time: 995.71s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  86 /100 | epoch   2 | time: 996.95s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  87 /100 | epoch   2 | time: 993.08s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  88 /100 | epoch   2 | time: 986.93s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  89 /100 | epoch   2 | time: 989.17s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  90 /100 | epoch   2 | time: 1000.47s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  91 /100 | epoch   2 | time: 1002.49s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  92 /100 | epoch   2 | time: 997.72s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  93 /100 | epoch   2 | time: 998.63s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  94 /100 | epoch   2 | time: 993.09s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  95 /100 | epoch   2 | time: 995.78s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  96 /100 | epoch   2 | time: 1006.75s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  97 /100 | epoch   2 | time: 991.34s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  98 /100 | epoch   2 | time: 997.75s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  99 /100 | epoch   2 | time: 1014.21s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split 100 /100 | epoch   2 | time: 986.36s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split   1 /100 | epoch   3 | time: 991.51s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split   2 /100 | epoch   3 | time: 989.51s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split   3 /100 | epoch   3 | time: 1002.45s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split   4 /100 | epoch   3 | time: 990.61s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split   5 /100 | epoch   3 | time: 1008.63s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split   6 /100 | epoch   3 | time: 998.73s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split   7 /100 | epoch   3 | time: 989.19s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split   8 /100 | epoch   3 | time: 995.80s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split   9 /100 | epoch   3 | time: 1001.01s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  10 /100 | epoch   3 | time: 991.35s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  11 /100 | epoch   3 | time: 1014.81s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  12 /100 | epoch   3 | time: 1012.00s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  13 /100 | epoch   3 | time: 999.73s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  14 /100 | epoch   3 | time: 1002.69s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  15 /100 | epoch   3 | time: 1005.10s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  16 /100 | epoch   3 | time: 997.88s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  17 /100 | epoch   3 | time: 997.99s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  18 /100 | epoch   3 | time: 1019.75s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  19 /100 | epoch   3 | time: 986.34s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  20 /100 | epoch   3 | time: 1006.43s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  21 /100 | epoch   3 | time: 989.24s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  22 /100 | epoch   3 | time: 995.95s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  23 /100 | epoch   3 | time: 991.45s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  24 /100 | epoch   3 | time: 992.14s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  25 /100 | epoch   3 | time: 1006.45s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  26 /100 | epoch   3 | time: 1011.94s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  27 /100 | epoch   3 | time: 1012.60s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  28 /100 | epoch   3 | time: 988.82s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  29 /100 | epoch   3 | time: 1006.01s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  30 /100 | epoch   3 | time: 1001.37s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  31 /100 | epoch   3 | time: 1001.78s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  32 /100 | epoch   3 | time: 1022.69s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  33 /100 | epoch   3 | time: 1009.29s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  34 /100 | epoch   3 | time: 999.52s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  35 /100 | epoch   3 | time: 998.22s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  36 /100 | epoch   3 | time: 1010.17s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  37 /100 | epoch   3 | time: 1000.76s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  38 /100 | epoch   3 | time: 1003.47s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  39 /100 | epoch   3 | time: 992.94s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  40 /100 | epoch   3 | time: 1014.54s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  41 /100 | epoch   3 | time: 1013.05s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  42 /100 | epoch   3 | time: 1000.46s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  43 /100 | epoch   3 | time: 1011.46s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  44 /100 | epoch   3 | time: 991.72s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  45 /100 | epoch   3 | time: 1015.99s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  46 /100 | epoch   3 | time: 1014.12s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  47 /100 | epoch   3 | time: 990.76s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  48 /100 | epoch   3 | time: 994.50s | valid loss  1.07 | valid ppl     2.92 | learning rate 20.00
